source_name,source_url,source_type,language,access_mode,data_format,reliability_tier,recommended_connector,requires_credentials,requires_partner_permission,notes
"HRW/SITU/Truth Hounds - Our City Was Gone","https://www.hrw.org/report/2024/02/08/our-city-was-gone/russias-devastation-mariupol-ukraine","ngo_report/destruction_map","English","public web; possible partner data request","HTML/PDF/interactive map/possible structured data","A","destruction_map_import","no","maybe","First source target for destruction inventory; inspect public supplements and request structured layers if not published."
"Mariupol Destruction and Victims Map","https://www.mariupoldestruction.com/map","public_google_mymaps_destruction_victim_archive","Russian/English/Ukrainian","public website and Google My Maps embed; owner export preferred","HTML/embedded My Maps serialized data/CSV/GeoJSON derived","C","destruction_map_import","no","maybe","Captured 4895 public map features from My Maps embed into data/processed/mariupoldestruction; KML export returned 403 to command-line client; verify license, corroborate, and privacy-review victim/grave rows before publication."
"SITU Research Mariupol materials","https://situ.nyc/research/projects","forensic_spatial_investigation","English","public web; partner request","HTML/media/possible geospatial project files","A","ngo_report_import","no","yes","Use public methodology now; request reusable map layers or exports through partner channel."
"Truth Hounds","https://truth-hounds.org/en/","ngo_documentation","Ukrainian/English","public web; partner request","HTML/PDF/case summaries","A","ngo_report_import","no","yes","Treat witness/interview evidence as partner-permission only."
"UNOSAT products portal","https://unosat.org/products","satellite_damage_assessment","English","public portal search/manual download","PDF/GeoPDF/GeoJSON/SHP/imagery derivatives","A","satellite_reference_import","no","maybe","Search for Mariupol or Ukraine conflict products; verify license and download terms."
"UNOSAT Mariupol Building Damage Assessment","https://unosat.org/products/3300","satellite_damage_assessment","English","public product page/manual download","PDF/map product; possible geodata link","A","satellite_reference_import","no","maybe","Named Mariupol damage-assessment product; inspect page downloads and terms before ingest."
"UNOSAT Azovstal Industrial Site Building Damage Assessment","https://unosat.org/products/3358","satellite_damage_assessment","English","public product page/manual download","PDF/map product; possible geodata link","A","satellite_reference_import","no","maybe","Named Azovstal product useful for industrial-site incident and damage layers."
"HDX UNOSAT Livoberezhnyi District Mariupol Damage Overview","https://data.humdata.org/dataset/unosat-damage-assessment-overview-map-livoberezhnyi-district-mariupol-city-ukraine","humanitarian_data_catalog","English","public catalog/manual download","PDF/catalog metadata","A","satellite_reference_import","no","no","Cataloged UNOSAT overview product for a Mariupol residential AOI; verify download license."
"Copernicus EMS Mapping","https://emergency.copernicus.eu/mapping/list-of-components/EMSR","emergency_mapping","English","public portal search/manual download","PDF/GPKG/SHP/raster","A","satellite_reference_import","no","no","Search Ukraine activations for Mariupol-adjacent emergency mapping products."
"OSCE ODIHR Moscow Mechanism Ukraine report","https://www.osce.org/odihr/515868","legal_investigative_report","English","public download","PDF","A","legal_document_import","no","no","Core legal context for Mariupol incidents."
"OHCHR Ukraine country page","https://www.ohchr.org/en/countries/ukraine","un_report","English","public web/download","HTML/PDF","A","legal_document_import","no","no","Use official reports and statements; preserve casualty caveats."
"OHCHR HRMMU Ukraine","https://ukraine.ohchr.org/","un_report","English/Ukrainian","public web/download","HTML/PDF","A","legal_document_import","no","no","Ukraine-specific monitoring reports."
"ICC Situation in Ukraine","https://www.icc-cpi.int/situations/ukraine","icc_legal_source","English/French","public web/download","HTML/PDF","A","legal_document_import","no","no","Case pages, warrants, statements, procedural materials."
"ICJ Ukraine v. Russian Federation","https://www.icj-cij.org/case/182","international_court_source","English/French","public web/download","HTML/PDF","A","legal_document_import","no","no","State responsibility background; not Mariupol-specific."
"Council of Europe Register of Damage","https://rd4u.coe.int/","damage_claims_registry_context","English/Ukrainian","public web","HTML/PDF","A","legal_document_import","no","no","Use process/status info only; individual claims data is not public ingestion material."
"Amnesty Mariupol theatre strike investigation","https://www.amnesty.org/en/latest/news/2022/06/ukraine-deadly-mariupol-theatre-strike-a-clear-war-crime-by-russian-forces-new-investigation/","ngo_incident_investigation","English","public web","HTML/PDF/media","A","ngo_report_import","no","no","Incident-level theatre strike source."
"Associated Press Ukraine hub","https://apnews.com/hub/russia-ukraine-war","media_investigation","English","public web/license constrained","HTML/photos/video","B","news_article_import","no","no","Capture metadata, citations, and summaries; do not bulk-copy article bodies."
"PBS Frontline","https://www.pbs.org/wgbh/frontline/","media_documentary","English","public web","HTML/video/transcripts","B","news_article_import","no","no","Use documentary metadata and public transcript excerpts within copyright limits."
"Mediazona English","https://en.zona.media/","media_investigation","English/Russian","public web","HTML/interactive map/articles","B","news_article_import","no","maybe","Target Mariupol demolition/reconstruction mapping; request layer reuse if needed."
"Financial Times visual journalism","https://www.ft.com/visual-and-data-journalism","media_visual_investigation","English","public/paywalled web","HTML/interactive map","B","news_article_import","maybe","yes","Use citations/metadata unless licensed."
"BBC Verify","https://www.bbc.com/news/reality_check","media_verification","English","public web","HTML/media","B","news_article_import","no","no","Search incident-level Mariupol verification."
"Bellingcat","https://www.bellingcat.com/","osint_investigation","English","public web","HTML/media","B","ngo_report_import","no","no","Search for Mariupol-specific verification; useful methodology and source trails."
"Center for Information Resilience","https://www.info-res.org/","osint_archive","English","public web; possible partner access","HTML/database/map","B","ngo_report_import","no","maybe","Potential geolocated incident archive; verify export options."
"OpenStreetMap HOT Export Tool","https://export.hotosm.org/","basemap_building_footprints","Multiple","public export","GeoJSON/SHP/KML/MBTiles","B","geojson_import","no","no","Use for building footprints and basemap context only with OSM attribution."
"Liveuamap","https://liveuamap.com/","event_map_archive","English/Ukrainian/Russian","public web","HTML/map/events","C","url_capture","no","maybe","Useful event leads; verify terms before automated collection."
"Mariupol City Council","https://mariupolrada.gov.ua/","ukrainian_official_portal","Ukrainian","public web","HTML/PDF/news","B","url_capture","no","no","Official city source in exile; first target for public page links and official archives."
"Mariupol Reborn","https://remariupol.com/","ukrainian_official_recovery_portal","Ukrainian/English","public web","HTML/PDF/news","B","url_capture","no","no","Recovery/reconstruction planning and partner outreach target."
"I Mariupol","https://imariupol.gov.ua/","ukrainian_support_portal","Ukrainian","public web","HTML/news","B","url_capture","no","no","Community/support updates; public posts only."
"Diia damaged property services","https://diia.gov.ua/services/categories/hromadyanam/neruhomist","ukrainian_official_service","Ukrainian","public informational page","HTML","B","legal_document_import","no","no","Context for claims process; not a public evidence database."
"Prosecutor General of Ukraine","https://gp.gov.ua/","ukrainian_legal_official","Ukrainian","public web","HTML/PDF/news","A","legal_document_import","no","no","War-crimes announcements and case summaries."
"War Crimes portal Ukraine","https://warcrimes.gov.ua/","ukrainian_evidence_intake","Ukrainian/English","public web; submission system","HTML/forms","B","legal_document_import","no","no","Use public information only; do not submit or access private reports."
"Local Mariupol 0629","https://www.0629.com.ua/","local_media_archive","Ukrainian/Russian","public web","HTML/photos/video","C","news_article_import","no","no","Local archive; copyright and provenance checks required."
"Suspilne Donbas","https://suspilne.media/donbas/","public_media_archive","Ukrainian","public web","HTML/media","B","news_article_import","no","no","Regional public broadcaster."
"Maxar News Bureau","https://www.maxar.com/news-bureau","satellite_imagery_news","English","public web/license constrained","HTML/images","B","satellite_reference_import","no","yes","Cite public imagery; imagery reuse requires license."
"Planet Pulse","https://www.planet.com/pulse/","satellite_imagery_news","English","public web/license constrained","HTML/images","B","satellite_reference_import","no","yes","Cite public writeups; imagery reuse requires license."
"Internet Archive","https://web.archive.org/","web_archive","Multiple","public web","WARC/HTML/snapshots","C","url_capture","no","no","Use for link rot mitigation and provenance snapshots."
"Russian Ministry of Defence","https://eng.mil.ru/","russian_official_denial","English/Russian","public web","HTML/PDF/video","D","url_capture","no","no","Contradiction modeling source only; label as adversarial/official Russian claim."
"Russian Ministry of Foreign Affairs","https://mid.ru/en/","russian_official_denial","English/Russian","public web","HTML/PDF","D","url_capture","no","no","Contradiction modeling source only."
"TASS","https://tass.com/","russian_state_media","English/Russian","public web","HTML/photos/video","D","news_article_import","no","no","Contradiction modeling source only; capture claims and URLs."
"RIA Novosti","https://ria.ru/","russian_state_media","Russian","public web","HTML/photos/video","D","news_article_import","no","no","Contradiction modeling source only."
"Kremlin official site","http://en.kremlin.ru/","russian_official_statement","English/Russian","public web","HTML/transcripts","D","url_capture","no","no","Contradiction modeling source only."
"Facebook public pages - Mariupol City Council / related official pages","https://www.facebook.com/search/pages/?q=Mariupol%20City%20Council","public_social_page_target","Ukrainian/Russian","manual web search; authorized API/export only","HTML/API export/CSV/JSON","C","facebook_public_page_authorized","maybe","maybe","Catalog page URLs manually; ingest only via Graph API approved access, page-owner export, or manual archive."
"Facebook public pages - ЯМаріуполь / I Mariupol","https://www.facebook.com/search/pages/?q=%D0%AF%D0%9C%D0%B0%D1%80%D1%96%D1%83%D0%BF%D0%BE%D0%BB%D1%8C","public_social_page_target","Ukrainian","manual web search; authorized API/export only","HTML/API export/CSV/JSON","C","facebook_public_page_authorized","maybe","maybe","Confirm exact page identity before cataloging evidence."
"Facebook public pages - Mariupol Reborn","https://www.facebook.com/search/pages/?q=Mariupol%20Reborn","public_social_page_target","Ukrainian/English","manual web search; authorized API/export only","HTML/API export/CSV/JSON","C","facebook_public_page_authorized","maybe","maybe","Prefer page-owner export or Graph API with permission."
"Meta Page Public Content Access","https://developers.facebook.com/docs/features-reference/page-public-content-access/","platform_api_policy","English","app review/approved API access","Graph API","C","facebook_public_page_authorized","yes","yes","Official feature needed to read permitted public Page data; not a scraping path."
"Meta Content Library and API","https://developers.facebook.com/docs/content-library-and-api/","platform_research_api","English","approved research access","API/Python/R in secure environment","C","facebook_public_page_authorized","yes","yes","Official research-access route for public Facebook/Instagram content; applications are reviewed."
"Public Telegram official/channel mirrors","https://t.me/","public_social_archive_target","Ukrainian/Russian","public link/manual archive/authorized export","HTML/JSON/CSV","C","manual_social_archive","no","maybe","Only public no-login channels; store message links and metadata."
